method,bits,seed,bytes_per_vector,index_bytes,compress_seconds,query_latency_ms
qjl,1,0,68.0,2108952,0.03634937503375113,0.2378243743441999
qjl,1,1,68.0,2108952,0.03609570884145796,0.23378500016406178
qjl,1,2,68.0,2108952,0.03481149999424815,0.24119271081872284
qjl,1,3,68.0,2108952,0.03621766692958772,0.23236270993947983
qjl,1,4,68.0,2108952,0.035605790792033076,0.2260131249204278
qjl,2,0,132.0,4093848,0.05886291712522507,0.4767956247087568
qjl,2,1,132.0,4093848,0.05467404215596616,0.44132145470939577
qjl,2,2,132.0,4093848,0.05199929210357368,0.4079672950319946
qjl,2,3,132.0,4093848,0.052776040975004435,0.42333541554398835
qjl,2,4,132.0,4093848,0.05307645886205137,0.43732792022638023
qjl,3,0,196.0,6078744,0.07509316597133875,0.6437672907486558
qjl,3,1,196.0,6078744,0.07177312509156764,0.632252290379256
qjl,3,2,196.0,6078744,0.07640495779924095,0.6515439599752426
qjl,3,3,196.0,6078744,0.06797912484034896,0.557864794973284
qjl,3,4,196.0,6078744,0.06951937498524785,0.5651745852082968
qjl,4,0,260.0,8063640,0.08988745813257992,0.8078035444486886
qjl,4,1,260.0,8063640,0.0880759998690337,0.7280864601489156
qjl,4,2,260.0,8063640,0.08576124999672174,0.7416691642720252
qjl,4,3,260.0,8063640,0.08494112500920892,0.7399391697254032
qjl,4,4,260.0,8063640,0.08606354193761945,0.750453540822491
qjl,8,0,516.0,16003224,0.16941374982707202,1.4410035451874137
qjl,8,1,516.0,16003224,0.171842125011608,1.4228806260507554
qjl,8,2,516.0,16003224,0.17439924995414913,1.4122143748681992
qjl,8,3,516.0,16003224,0.1702266251668334,1.4147235441487283
qjl,8,4,516.0,16003224,0.17269899998791516,1.48003812530078
polarquant,1,0,67.875,31820364,0.3942170839291066,0.6290050002280623
polarquant,1,1,67.875,31820364,0.4005530830472708,0.632152920588851
polarquant,1,2,67.875,31820364,0.3923405830282718,0.618599794106558
polarquant,1,3,67.875,31820364,0.391754292184487,0.6199995847418904
polarquant,1,4,67.875,31820364,0.3945472501218319,0.6190374994184822
polarquant,2,0,131.75,31820364,0.5457426670473069,0.6302585394587368
polarquant,2,1,131.75,31820364,0.5428154170513153,0.6178066646680236
polarquant,2,2,131.75,31820364,0.5544809170532972,0.6436720851343125
polarquant,2,3,131.75,31820364,0.5485248749610037,0.6207045854534954
polarquant,2,4,131.75,31820364,0.5482598748058081,0.6370343756861985
polarquant,3,0,195.625,31820364,0.7638148330152035,0.6386781251057982
polarquant,3,1,195.625,31820364,0.7621367920655757,0.6381812505424023
polarquant,3,2,195.625,31820364,0.7640058330725878,0.6391083309426904
polarquant,3,3,195.625,31820364,0.7659355001524091,0.6313385406974703
polarquant,3,4,195.625,31820364,0.7722617499530315,0.6304941698908806
polarquant,4,0,259.5,31820364,0.6424182909540832,0.6339308351743966
polarquant,4,1,259.5,31820364,0.6588820000179112,0.6315135443583131
polarquant,4,2,259.5,31820364,0.691142083145678,0.638136665802449
polarquant,4,3,259.5,31820364,0.6946573329623789,0.635234999936074
polarquant,4,4,259.5,31820364,0.6978576250839978,0.6308237498160452
turboquant,1,0,68.0,2108952,0.03368008299730718,0.24610708467662334
turboquant,1,1,68.0,2108952,0.03380616591311991,0.21933979005552828
