method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
qjl,8,3,T1_text2image,0.182,0.352,0.44,1000
qjl,8,3,T2_image2text,0.306,0.536,0.642,1000
qjl,8,3,T3_text2text,0.293,0.467,0.539,1000
qjl,8,3,T4_image2image,0.748,0.989,0.998,1000
qjl,8,4,T1_text2image,0.163,0.341,0.422,1000
qjl,8,4,T2_image2text,0.336,0.547,0.659,1000
qjl,8,4,T3_text2text,0.275,0.437,0.515,1000
qjl,8,4,T4_image2image,0.751,0.982,0.997,1000
polarquant,1,0,T1_text2image,0.044,0.1,0.137,1000
polarquant,1,0,T2_image2text,0.051,0.142,0.208,1000
polarquant,1,0,T3_text2text,0.266,0.438,0.498,1000
polarquant,1,0,T4_image2image,0.367,0.713,0.828,1000
polarquant,1,1,T1_text2image,0.028,0.09,0.133,1000
polarquant,1,1,T2_image2text,0.063,0.168,0.221,1000
polarquant,1,1,T3_text2text,0.245,0.395,0.463,1000
polarquant,1,1,T4_image2image,0.376,0.725,0.834,1000
polarquant,1,2,T1_text2image,0.025,0.091,0.136,1000
polarquant,1,2,T2_image2text,0.067,0.169,0.237,1000
polarquant,1,2,T3_text2text,0.248,0.402,0.476,1000
polarquant,1,2,T4_image2image,0.41,0.761,0.852,1000
polarquant,1,3,T1_text2image,0.038,0.084,0.125,1000
polarquant,1,3,T2_image2text,0.058,0.137,0.197,1000
polarquant,1,3,T3_text2text,0.259,0.424,0.495,1000
polarquant,1,3,T4_image2image,0.403,0.732,0.849,1000
polarquant,1,4,T1_text2image,0.038,0.095,0.126,1000
polarquant,1,4,T2_image2text,0.065,0.165,0.241,1000
polarquant,1,4,T3_text2text,0.232,0.401,0.472,1000
polarquant,1,4,T4_image2image,0.377,0.737,0.842,1000
polarquant,2,0,T1_text2image,0.119,0.262,0.351,1000
polarquant,2,0,T2_image2text,0.234,0.448,0.545,1000
polarquant,2,0,T3_text2text,0.285,0.468,0.536,1000
polarquant,2,0,T4_image2image,0.619,0.935,0.985,1000
polarquant,2,1,T1_text2image,0.114,0.265,0.365,1000
polarquant,2,1,T2_image2text,0.21,0.427,0.528,1000
polarquant,2,1,T3_text2text,0.277,0.436,0.505,1000
polarquant,2,1,T4_image2image,0.613,0.944,0.985,1000
polarquant,2,2,T1_text2image,0.116,0.247,0.325,1000
polarquant,2,2,T2_image2text,0.225,0.443,0.549,1000
polarquant,2,2,T3_text2text,0.27,0.436,0.512,1000
polarquant,2,2,T4_image2image,0.68,0.951,0.984,1000
polarquant,2,3,T1_text2image,0.127,0.277,0.347,1000
polarquant,2,3,T2_image2text,0.217,0.446,0.552,1000
polarquant,2,3,T3_text2text,0.285,0.461,0.522,1000
polarquant,2,3,T4_image2image,0.594,0.932,0.981,1000
polarquant,2,4,T1_text2image,0.127,0.275,0.359,1000
polarquant,2,4,T2_image2text,0.238,0.469,0.565,1000
polarquant,2,4,T3_text2text,0.257,0.425,0.51,1000
polarquant,2,4,T4_image2image,0.612,0.934,0.983,1000
polarquant,3,0,T1_text2image,0.169,0.357,0.458,1000
polarquant,3,0,T2_image2text,0.342,0.587,0.687,1000
polarquant,3,0,T3_text2text,0.297,0.474,0.546,1000
polarquant,3,0,T4_image2image,0.768,0.992,0.999,1000
polarquant,3,1,T1_text2image,0.175,0.352,0.437,1000
polarquant,3,1,T2_image2text,0.342,0.563,0.682,1000
polarquant,3,1,T3_text2text,0.275,0.443,0.514,1000
polarquant,3,1,T4_image2image,0.775,0.995,0.998,1000
polarquant,3,2,T1_text2image,0.181,0.34,0.415,1000
polarquant,3,2,T2_image2text,0.33,0.563,0.666,1000
polarquant,3,2,T3_text2text,0.278,0.436,0.518,1000
polarquant,3,2,T4_image2image,0.81,0.992,0.998,1000
polarquant,3,3,T1_text2image,0.207,0.372,0.449,1000
polarquant,3,3,T2_image2text,0.345,0.58,0.683,1000
polarquant,3,3,T3_text2text,0.292,0.472,0.534,1000
polarquant,3,3,T4_image2image,0.773,0.991,1.0,1000
polarquant,3,4,T1_text2image,0.188,0.371,0.469,1000
polarquant,3,4,T2_image2text,0.347,0.602,0.696,1000
polarquant,3,4,T3_text2text,0.275,0.436,0.512,1000
polarquant,3,4,T4_image2image,0.792,0.994,0.999,1000
polarquant,4,0,T1_text2image,0.197,0.4,0.494,1000
polarquant,4,0,T2_image2text,0.396,0.619,0.722,1000
