method,bits,seed,task,recall_at_1,recall_at_5,recall_at_10,n_queries
polarquant,4,0,T1_text2image,0.199,0.408,0.498,1000
polarquant,4,0,T2_image2text,0.4,0.623,0.733,1000
polarquant,4,0,T3_text2text,0.302,0.483,0.542,1000
polarquant,4,0,T4_image2image,0.905,1.0,1.0,1000
polarquant,4,1,T1_text2image,0.19,0.383,0.482,1000
polarquant,4,1,T2_image2text,0.407,0.635,0.723,1000
polarquant,4,1,T3_text2text,0.279,0.447,0.524,1000
polarquant,4,1,T4_image2image,0.903,1.0,1.0,1000
polarquant,4,2,T1_text2image,0.209,0.373,0.468,1000
polarquant,4,2,T2_image2text,0.376,0.625,0.721,1000
polarquant,4,2,T3_text2text,0.282,0.445,0.522,1000
polarquant,4,2,T4_image2image,0.919,1.0,1.0,1000
polarquant,4,3,T1_text2image,0.229,0.414,0.503,1000
polarquant,4,3,T2_image2text,0.39,0.658,0.731,1000
polarquant,4,3,T3_text2text,0.295,0.461,0.537,1000
polarquant,4,3,T4_image2image,0.905,1.0,1.0,1000
polarquant,4,4,T1_text2image,0.219,0.409,0.501,1000
polarquant,4,4,T2_image2text,0.415,0.657,0.728,1000
polarquant,4,4,T3_text2text,0.282,0.439,0.514,1000
polarquant,4,4,T4_image2image,0.917,1.0,1.0,1000
